TreeID,species,northing,easting,latitude,longitude,SPlocation,remarks
1,quercus.robur,168488,494341,51.4076,-0.645006,Rookery slope,"NA"
2,quercus.robur,168484,494342,51.4075,-0.644996,Rookery slope,"NA"
3,quercus.robur,168486,494340,51.4076,-0.645028,Rookery slope,"NA"
4,quercus.robur,168478,494337,51.4075,-0.645068,Rookery slope,"veteran"
5,quercus.robur,168490,494354,51.4076,-0.64483,Rookery slope,"veteran"
6,quercus.robur,168698,494228,51.4095,-0.646574,Elm slope,"veteran"
7,quercus.robur,168694,494225,51.4095,-0.646619,Elm slope,"veteran"
8,quercus.robur,169286,494167,51.4148,-0.647315,Farm wood,"NA"
9,quercus.robur,169290,494163,51.4148,-0.647357,Farm wood,"NA"
10,quercus.robur,169230,493937,51.4143,-0.650617,Farm wood,"Once this tree has two marks (#20 and 1959); so also was TreeID 3041 now removed"
11,quercus.robur,169228,493937,51.4143,-0.650627,Farm wood,"NA"
12,quercus.robur,169228,493935,51.4143,-0.650647,Farm wood,"NA"
13,quercus.robur,169225,493948,51.4143,-0.650461,Farm wood,"NA"
14,quercus.robur,169220,493954,51.4142,-0.650387,Farm wood,"NA"
15,quercus.robur,169239,493918,51.4144,-0.650892,Farm wood,"NA"
16,quercus.robur,169150,493719,51.4136,-0.653771,Nursery Field,"NA"
17,quercus.robur,169147,493720,51.4136,-0.653763,Nursery Field,"NA"
18,quercus.robur,169150,493714,51.4136,-0.653855,Nursery Field,"from pheonology data 2007-2013"
19,quercus.robur,169147,493716,51.4136,-0.653825,Nursery Field,"NA"
20,quercus.robur,169146,493713,51.4136,-0.653861,Nursery Field,"from phenology 2018"
21,quercus.robur,169145,493712,51.4136,-0.653872,Nursery Field,"Outside Silwood
"
22,quercus.robur,169131,493711,51.4135,-0.653893,Nursery Field,"NA"
23,quercus.robur,169155,493718,51.4137,-0.653794,Nursery Field,"NA"
24,quercus.robur,169167,493722,51.4138,-0.653729,Nursery Field,"NA"
25,quercus.robur,169153,493713,51.4137,-0.653862,Nursery Field,"NA"
26,quercus.robur,168553,494427,51.4082,-0.643763,Drive hill,"sold land"
27,quercus.robur,168557,494409,51.4082,-0.64401,Drive Hill,"sold land"
28,quercus.robur,168640,494388,51.4089,-0.644298,Elm slope,"NA"
29,quercus.robur,168642,494378,51.409,-0.64444,Elm slope,"NA"
30,quercus.robur,168642,494376,51.409,-0.644467,Elm slope,"NA"
31,quercus.robur,168647,494373,51.409,-0.64451,Elm slope,"NA"
32,quercus.robur,168643,494372,51.409,-0.644526,Elm slope,"NA"
33,quercus.robur,168646,494376,51.409,-0.64446,Elm slope,"NA"
34,quercus.robur,168651,494377,51.409,-0.644451,Elm slope,"NA"
35,quercus.robur,168641,494383,51.4089,-0.644361,Elm slope,"NA"
36,quercus.robur,168660,494402,51.4091,-0.644083,Elm slope,"NA"
37,quercus.robur,168907,494306,51.4114,-0.645407,Gunnes's hill,"NA"
38,quercus.robur,168903,494300,51.4113,-0.645497,Gunnes's hill,"NA"
39,quercus.robur,168901,494297,51.4113,-0.645527,Gunnes's hill,"NA"
40,quercus.robur,168894,494295,51.4112,-0.645563,Gunnes's hill,"NA"
41,quercus.robur,168897,494298,51.4113,-0.645527,Gunnes's hill,"NA"
42,quercus.robur,168896,494302,51.4113,-0.64546,Gunnes's hill,"NA"
43,quercus.robur,168898,494301,51.4113,-0.645484,Gunnes's hill,"NA"
44,quercus.robur,168893,494302,51.4112,-0.645468,Gunnes's hill,"NA"
45,quercus.robur,168911,494294,51.4114,-0.645577,Gunnes's hill,"NA"
46,quercus.robur,168911,494296,51.4114,-0.645546,Gunnes's hill,"NA"
47,quercus.robur,168920,494291,51.4115,-0.645618,Gunnes's hill,"NA"
48,quercus.robur,168915,494294,51.4114,-0.645576,Gunnes's hill,"NA"
49,quercus.robur,168914,494289,51.4114,-0.645649,Gunnes's hill,"NA"
50,quercus.robur,168931,494291,51.4116,-0.645618,Gunnes's hill,"NA"
51,quercus.robur,168917,494297,51.4114,-0.645531,Gunnes's hill,"NA"
52,quercus.robur,168924,494301,51.4115,-0.645464,Gunnes's hill,"NA"
53,quercus.robur,168919,494308,51.4115,-0.645375,Gunnes's hill,"NA"
54,quercus.robur,168919,494309,51.4115,-0.645359,Gunnes's hill,"NA"
55,quercus.robur,168921,494311,51.4115,-0.645332,Gunnes's hill,"NA"
56,quercus.robur,168916,494321,51.4114,-0.645183,Gunnes's hill,"NA"
57,quercus.robur,168923,494320,51.4115,-0.645192,Gunnes's hill,"NA"
58,quercus.robur,168916,494328,51.4114,-0.645092,Gunnes's hill,"NA"
59,quercus.robur,168907,494324,51.4114,-0.645147,Gunnes's hill,"NA"
60,quercus.robur,168901,494312,51.4113,-0.645316,Gunnes's hill,"NA"
61,quercus.robur,168905,494318,51.4113,-0.645234,Gunnes's hill,"NA"
62,quercus.robur,168909,494306,51.4114,-0.645408,Gunnes's hill,"NA"
63,quercus.robur,168903,494301,51.4113,-0.645476,Gunnes's hill,"NA"
64,quercus.robur,168899,494305,51.4113,-0.645419,Gunnes's hill,"NA"
65,quercus.robur,169012,494653,51.4122,-0.640382,Merten's acres,"NA"
66,quercus.robur,169006,494668,51.4122,-0.640171,Merten's acres,"NA"
67,quercus.robur,168997,494666,51.4121,-0.640197,Merten's acres,"Tree core project
"
68,quercus.robur,168990,494666,51.412,-0.640199,Merten's acres,"Tree core project
"
69,quercus.robur,168967,494685,51.4118,-0.639941,Merten's acres,"veteran"
70,quercus.robur,168991,494649,51.4121,-0.640451,Merten's acres,"veteran"
71,quercus.robur,169004,494649,51.4122,-0.640454,Merten's acres,"NA"
72,quercus.robur,169004,494649,51.4122,-0.640453,Merten's acres,"NA"
73,quercus.robur,168997,494650,51.4121,-0.640428,Merten's acres,"NA"
74,quercus.robur,168995,494648,51.4121,-0.640457,Merten's acres,"NA"
75,quercus.robur,169003,494650,51.4122,-0.640434,Merten's acres,"NA"
76,quercus.robur,169008,494647,51.4122,-0.640471,Merten's acres,"NA"
77,quercus.robur,169006,494644,51.4122,-0.640511,Merten's acres,"NA"
78,quercus.robur,168998,494642,51.4121,-0.640553,Merten's acres,"NA"
79,quercus.robur,169011,494652,51.4122,-0.640397,Merten's acres,"NA"
80,quercus.robur,169010,494648,51.4122,-0.640467,Merten's acres,"NA"
81,quercus.robur,169012,494652,51.4122,-0.640406,Merten's acres,"Tree core project
"
82,quercus.robur,169006,494634,51.4122,-0.640667,Merten's acres,"NA"
83,quercus.robur,169000,494636,51.4121,-0.640628,Merten's acres,"Tree core project
"
84,quercus.robur,169000,494643,51.4121,-0.640538,Merten's acres,"NA"
85,quercus.robur,169009,494642,51.4122,-0.640546,Merten's acres,"NA"
86,quercus.robur,169017,494637,51.4123,-0.640609,Merten's acres,"NA"
87,quercus.robur,169025,494640,51.4124,-0.640569,Merten's acres,"NA"
88,quercus.robur,169029,494652,51.4124,-0.640403,Merten's acres,"NA"
89,quercus.robur,169026,494650,51.4124,-0.640427,Merten's acres,"NA"
90,quercus.robur,169030,494648,51.4124,-0.640461,Merten's acres,"NA"
91,quercus.robur,169030,494651,51.4124,-0.640412,Merten's acres,"NA"
92,quercus.robur,169033,494651,51.4124,-0.640405,Merten's acres,"NA"
93,quercus.robur,169026,494651,51.4124,-0.640412,Merten's acres,"NA"
94,quercus.robur,169032,494659,51.4124,-0.640296,Merten's acres,"NA"
95,quercus.robur,169025,494660,51.4124,-0.64028,Merten's acres,"NA"
96,quercus.robur,169026,494659,51.4124,-0.640291,Merten's acres,"Tree core project
"
97,quercus.robur,169022,494662,51.4123,-0.640248,Merten's acres,"NA"
98,quercus.robur,169022,494658,51.4123,-0.640307,Merten's acres,"Tree core project
"
99,quercus.robur,169016,494660,51.4123,-0.64029,Merten's acres,"NA"
100,quercus.robur,168907,494539,51.4113,-0.642048,Observatory ridge,"NA"
101,quercus.robur,168918,494536,51.4114,-0.642092,Observatory ridge,"NA"
102,quercus.robur,168927,494531,51.4115,-0.64217,Observatory ridge,"NA"
103,quercus.robur,168928,494542,51.4115,-0.642006,Observatory ridge,"NA"
104,quercus.robur,168927,494543,51.4115,-0.641998,Observatory ridge,"report dead in pheonology data/phenology data in 2015-2017 score 0"
105,quercus.robur,168927,494544,51.4115,-0.64198,Observatory ridge,"NA"
106,quercus.robur,168925,494544,51.4115,-0.641983,Observatory ridge,"NA"
107,quercus.robur,168919,494542,51.4114,-0.642002,Observatory ridge,"NA"
108,quercus.robur,168921,494548,51.4114,-0.641921,Observatory ridge,"NA"
109,quercus.robur,168917,494543,51.4114,-0.641995,Observatory ridge,"NA"
110,quercus.robur,168916,494548,51.4114,-0.641924,Observatory ridge,"NA"
111,quercus.robur,168917,494548,51.4114,-0.641925,Observatory ridge,"NA"
112,quercus.sp,168925,494556,51.4115,-0.641812,Observatory ridge,"Maybe turkey oak, not Q. robur
"
113,quercus.robur,168922,494553,51.4114,-0.641845,Observatory ridge,"NA"
114,quercus.robur,168921,494552,51.4114,-0.641862,Observatory ridge,"NA"
115,quercus.robur,168925,494554,51.4115,-0.641829,Observatory ridge,"NA"
116,quercus.robur,168923,494556,51.4115,-0.641799,Observatory ridge,"NA"
117,quercus.robur,168921,494555,51.4114,-0.641815,Observatory ridge,"NA"
118,quercus.robur,168921,494555,51.4114,-0.641826,Observatory ridge,"NA"
119,quercus.robur,168914,494553,51.4114,-0.641849,Observatory ridge,"NA"
120,quercus.robur,168916,494554,51.4114,-0.64183,Observatory ridge,"NA"
121,quercus.robur,168914,494556,51.4114,-0.641801,Observatory ridge,"NA"
122,quercus.robur,168911,494559,51.4113,-0.641768,Observatory ridge,"NA"
123,quercus.robur,168908,494548,51.4113,-0.641918,Observatory ridge,"veteran"
124,quercus.robur,168906,494560,51.4113,-0.641747,Observatory ridge,"veteran"
125,quercus.robur,168907,494562,51.4113,-0.641725,Observatory ridge,"NA"
126,quercus.robur,168906,494562,51.4113,-0.64172,Observatory ridge,"NA"
127,quercus.robur,168894,494553,51.4112,-0.64185,Observatory ridge,"NA"
128,quercus.robur,168894,494553,51.4112,-0.64186,Observatory ridge,"NA"
129,quercus.robur,168901,494551,51.4113,-0.641882,Observatory ridge,"NA"
130,quercus.robur,168897,494545,51.4112,-0.641964,Observatory ridge,"NA"
131,quercus.robur,168887,494536,51.4111,-0.642101,Observatory ridge,"NA"
132,quercus.robur,168895,494539,51.4112,-0.642056,Observatory ridge,"NA"
133,quercus.robur,168897,494543,51.4112,-0.642003,Observatory ridge,"NA"
134,quercus.robur,168898,494543,51.4112,-0.642002,Observatory ridge,"NA"
135,quercus.robur,168902,494523,51.4113,-0.642287,Merten's acres,"veteran"
136,quercus.robur,168618,494199,51.4088,-0.64702,Rookery slope,"NA"
137,quercus.robur,168645,494193,51.409,-0.647103,Rookery slope,"NA"
138,quercus.robur,168651,494195,51.4091,-0.647014,Rookery slope,"NA"
139,quercus.robur,168652,494198,51.4091,-0.647079,Rookery slope,"NA"
140,quercus.robur,168644,494201,51.409,-0.646987,Rookery slope,"NA"
141,quercus.robur,169184,494448,51.4138,-0.643291,The elms,"NA"
142,quercus.robur,169187,494448,51.4138,-0.643288,The elms,"NA"
143,quercus.robur,169185,494444,51.4138,-0.64335,Nash's field,"NA"
144,quercus.robur,169185,494442,51.4138,-0.64338,Nash's field,"NA"
145,quercus.robur,169190,494435,51.4139,-0.643472,Nash's field,"NA"
146,quercus.robur,169186,494437,51.4138,-0.643439,Nash's field,"NA"
147,quercus.robur,169175,494438,51.4137,-0.643429,Nash's field,"NA"
148,quercus.robur,169169,494438,51.4137,-0.643433,Nash's field,"NA"
149,quercus.robur,169167,494435,51.4137,-0.643477,Nash's field,"NA"
150,quercus.robur,169160,494441,51.4136,-0.643397,Nash's field,"veteran"
151,quercus.robur,169184,494440,51.4138,-0.64341,Nash's field,"NA"
152,quercus.robur,169181,494439,51.4138,-0.643418,Nash's field,"NA"
153,quercus.robur,169181,494433,51.4138,-0.643502,Nash's field,"NA"
154,quercus.robur,169183,494435,51.4138,-0.64347,Nash's field,"NA"
155,quercus.robur,169188,494431,51.4139,-0.643531,Nash's field,"NA"
156,quercus.robur,169184,494433,51.4138,-0.643508,Nash's field,"NA"
157,quercus.robur,169184,494432,51.4138,-0.643516,Nash's field,"NA"
158,quercus.robur,169188,494425,51.4139,-0.643622,Nash's field,"NA"
159,quercus.robur,169182,494429,51.4138,-0.643564,Nash's field,"NA"
160,quercus.robur,169184,494396,51.4138,-0.64403,Nash's field,"NA"
161,quercus.robur,169181,494402,51.4138,-0.643954,Nash's field,"NA"
162,quercus.robur,169183,494402,51.4138,-0.643947,Nash's field,"NA"
163,quercus.robur,169182,494402,51.4138,-0.643946,Nash's field,"NA"
164,quercus.robur,169183,494412,51.4138,-0.6438,Nash's field,"NA"
165,quercus.robur,169184,494408,51.4138,-0.643862,Nash's field,"NA"
166,quercus.robur,169187,494408,51.4139,-0.643861,Nash's field,"NA"
167,quercus.robur,169182,494415,51.4138,-0.643758,Nash's field,"NA"
168,quercus.robur,169188,494408,51.4139,-0.643857,Nash's field,"NA"
169,quercus.robur,169187,494412,51.4138,-0.643799,Nash's field,"NA"
170,quercus.robur,169184,494409,51.4138,-0.643848,Nash's field,"NA"
171,quercus.robur,169183,494411,51.4138,-0.64382,Nash's field,"NA"
172,quercus.robur,169181,494413,51.4138,-0.643788,Nash's field,"NA"
173,quercus.robur,169181,494413,51.4138,-0.643788,Nash's field,"NA"
174,quercus.robur,169182,494410,51.4138,-0.64383,Nash's field,"NA"
175,quercus.robur,169181,494413,51.4138,-0.643798,Nash's field,"NA"
176,quercus.robur,169183,494414,51.4138,-0.643776,Nash's field,"NA"
177,quercus.robur,169186,494421,51.4138,-0.643674,Nash's field,"NA"
178,quercus.robur,169185,494420,51.4138,-0.643697,Nash's field,"NA"
179,quercus.robur,169182,494425,51.4138,-0.643624,Nash's field,"NA"
180,quercus.robur,169182,494425,51.4138,-0.643624,Nash's field,"NA"
181,quercus.robur,169183,494425,51.4138,-0.643616,Nash's field,"NA"
182,quercus.robur,169182,494429,51.4138,-0.643564,Nash's field,"NA"
183,quercus.robur,169182,494429,51.4138,-0.643564,Nash's field,"NA"
184,quercus.robur,169192,494425,51.4139,-0.643611,Nash's copse,"NA"
185,quercus.robur,169192,494433,51.4139,-0.643499,Nash's copse,"NA"
186,quercus.robur,169232,493996,51.4143,-0.649768,Farm wood,"NA"
187,quercus.robur,169244,494012,51.4144,-0.649535,Farm wood,"veteran"
188,quercus.robur,169230,494002,51.4143,-0.649683,Farm wood,"NA"
189,quercus.robur,169220,493999,51.4142,-0.649729,Farm wood,"NA"
190,quercus.robur,169214,494002,51.4142,-0.649694,Farm wood,"NA"
191,quercus.robur,169213,494004,51.4142,-0.64967,Farm wood,"NA"
192,quercus.robur,169215,493988,51.4142,-0.649897,Farm wood,"NA"
193,quercus.robur,169226,493998,51.4143,-0.649751,Farm wood,"NA"
194,quercus.robur,169230,493998,51.4143,-0.649738,Farm wood,"NA"
195,quercus.robur,169260,493998,51.4146,-0.649736,Farm wood,"NA"
196,quercus.robur,169409,493863,51.4159,-0.651644,Pound hill field,"NA"
197,quercus.robur,169409,493862,51.4159,-0.651649,Pound hill field,"NA"
198,quercus.robur,169413,493864,51.416,-0.651629,Pound hill field,"NA"
199,quercus.robur,169406,493874,51.4159,-0.651486,Pound hill field,"NA"
200,quercus.robur,169405,493880,51.4159,-0.651392,Pound hill field,"NA"
201,quercus.robur,169385,493868,51.4157,-0.651574,Pound hill field,"NA"
202,quercus.robur,169391,493869,51.4158,-0.651563,Pound hill field,"NA"
203,quercus.robur,169413,493882,51.416,-0.651362,Pound hill field,"NA"
204,quercus.robur,169422,493884,51.416,-0.651332,Pound hill field,"NA"
205,quercus.robur,169424,493880,51.4161,-0.651393,Pound hill field,"NA"
206,quercus.robur,169412,493854,51.416,-0.65177,Pound hill field,"NA"
207,quercus.robur,169412,493855,51.416,-0.651759,Pound hill field,"NA"
208,quercus.robur,169416,493848,54.2881,-5.54432,Pound hill field,"NA"
209,quercus.robur,169423,493848,51.4161,-0.651852,Pound hill field,"NA"
210,quercus.robur,169420,493848,51.416,-0.651851,Pound hill field,"NA"
211,quercus.robur,169322,494168,51.4151,-0.64727,Cheapside field,"NA"
212,quercus.robur,169321,494167,51.4151,-0.647289,Cheapside field,"NA"
213,quercus.robur,169321,494166,51.4151,-0.647307,Cheapside field,"NA"
214,quercus.robur,169319,494166,51.4151,-0.647309,Cheapside field,"NA"
215,quercus.robur,169311,494159,51.415,-0.647411,Cheapside field,"NA"
216,quercus.robur,169317,494160,51.4151,-0.647387,Cheapside field,"NA"
217,quercus.robur,169317,494155,51.4151,-0.647464,Cheapside field,"NA"
218,quercus.robur,169322,494153,51.4151,-0.64749,Cheapside field,"NA"
219,quercus.robur,169328,494155,51.4152,-0.647462,Cheapside field,"NA"
220,quercus.robur,169306,494151,51.415,-0.64753,Cheapside field,"NA"
221,quercus.robur,169302,494161,51.4149,-0.647378,Cheapside field,"NA"
222,quercus.robur,169324,494185,51.4151,-0.647035,Cheapside field,"NA"
223,quercus.robur,169322,494185,51.4151,-0.647032,Cheapside field,"NA"
224,quercus.robur,169327,494181,51.4151,-0.647091,Cheapside field,"NA"
225,quercus.robur,169325,494189,51.4151,-0.646977,Cheapside field,"NA"
226,quercus.robur,169327,494191,51.4151,-0.646943,Cheapside field,"NA"
227,quercus.robur,169332,494188,51.4152,-0.646981,Cheapside field,"NA"
228,quercus.robur,169329,494182,51.4152,-0.647068,Cheapside field,"NA"
229,quercus.robur,168898,494300,51.4113,-0.645492,Gunnes's hill,"NA"
